rank,slug,topic,evidence_state,grade,score,n_sources,strength_band,full_anchor,partial_anchor,weak_anchor,disputed,t3_clinical,practice,weak_only,tier_profile,n_true_jurisdictions,n_jurisdictions_raw,jurisdictions,n_languages,languages,pct_english,n_nonenglish,pct_anglo_core,anglo_core_instances,supra_instances,non_anglo_instances,null_jurisdiction_instances,comp_volume,comp_tier,comp_jurisdiction,comp_language,comp_anglo_balance,search_langs_run,search_langs_hit
19,multilingual-evidence-convergence-non-english,frameworks-and-methodology,PARTIAL,B,75.7,8,full,3,2,3,0,3,0,0,T3:6;T5:2,7,7,DE:2;NL:1;INT:1;JP:1;NO:1;BE:1;DK:1,4,en:4;de:2;ja:1;no:1,50.0,4,0.0,0,1,7,0,16,19.5,17,12,11.2,19,2
20,visual-impairment-built-environment,population-general,RETRACTED-PRE-REHAB,B,75.7,8,full,1,3,4,0,0,0,0,T2:1;T3:1;T4:2;T5:1;T6:3,7,7,KR:2;INT:1;CN:1;JP:1;DE:1;BR:1;UK:1,6,en:2;ko:2;zh:1;ja:1;de:1;pt:1,25.0,6,12.5,1,1,6,0,16,15.5,17,15,12.2,19,3
21,accessible-design-economics-cost-premium,economics,RETRACTED-PRE-REHAB,B,75.0,14,full,7,0,7,0,7,0,0,T3:13;T6:1,7,7,DE:5;INT:2;US:2;BE:1;NO:1;CA:1;NL:1,3,en:8;de:5;no:1,57.1,6,23.1,3,2,8,1,20,20.0,17,9,9.0,19,4
22,sensory-space-global-south,sensory-environment,RETRACTED-PRE-REHAB,B,74.5,15,full,9,1,5,0,5,0,0,T1:3;T2:1;T3:9;T5:1;T6:1,7,7,JP:6;INT:3;GB:1;UK:1;MY:1;CL:1;IN:1,2,en:9;ja:6,60.0,6,7.1,1,3,10,1,20,22.5,17,5,10.0,19,0
23,deafblind-built-environment-design,population-general,RETRACTED-PRE-REHAB,B,74.3,9,full,7,0,2,0,0,0,0,T1:3;T2:4;T3:1;T6:1,5,5,US:3;INT:2;JP:2;BR:1;AU:1,3,en:6;ja:2;pt:1,66.7,3,44.4,4,2,3,0,16,25.6,17,9,6.7,19,14
24,assistive-listening-systems,communication-and-alerts,RETRACTED-PRE-REHAB,B,73.2,8,full,2,2,4,0,0,0,0,T2:2;T3:2;T4:1;T5:1;T6:2,5,5,INT:4;NO:1;FR:1;DE:1;JP:1,5,en:4;no:1;fr:1;de:1;ja:1,50.0,4,0.0,0,4,4,0,16,17.0,17,12,11.2,19,4
25,luminance-contrast-and-pattern,wayfinding-and-signage,,B,72.5,13,partial,0,4,9,0,0,0,0,T5:4;T6:9,13,13,JP:1;NL:1;SE:1;IT:1;PT:1;FR:1;FI:1;DK:1;CN:1;ES:1;KR:1;DE:1;NO:1,13,ja:1;nl:1;sv:1;it:1;pt:1;fr:1;fi:1;da:1;zh:1;es:1;ko:1;de:1;no:1,0.0,13,0.0,0,0,13,0,20,2.5,20,15,15.0,19,14
26,bathroom-typology-global-south,bathrooms-and-wet-areas,PARTIAL,B,72.3,8,full,4,1,3,0,2,0,0,T1:1;T2:1;T3:2;T4:1;T6:3,4,4,ID:4;INT:2;JP:1;BR:1,4,en:5;ja:1;pt:1;id:1,62.5,3,0.0,0,2,6,0,16,21.0,13,12,10.3,19,4
27,accessibility-feature-market-value-uplift-framing,economics,RETRACTED-PRE-REHAB,B,70.8,33,full,8,19,6,0,8,0,0,T3:10;T4:4;T5:15;T6:4,11,11,US:16;UK:5;NO:2;AU:2;EU:2;CA / INT:1;DE:1;NL:1;CA:1;US/AU/INT:1;INT:1,3,en:30;no:2;de:1,90.9,3,78.8,26,3,4,0,20,19.5,20,9,2.3,19,6
28,pain-ofs-built-environment-design,health-and-symptom-management,RETRACTED-PRE-REHAB,B,70.6,12,full,5,3,4,0,0,0,0,T1:2;T2:3;T3:3;T5:3;T6:1,6,6,US:4;UK:2;SE:1;FR:1;DE:1;INT:1,3,en:10;sv:1;fr:1,83.3,2,60.0,6,1,3,2,20,20.3,17,9,4.3,19,4
